Open;Close;High;Low;Volume;Date
107,34;112,93;115,11;106,83;;2/03/2022
115,27;110,46;119,84;109,4;;3/03/2022
114,23;118,11;118,98;109,62;;4/03/2022
122,79;123,21;139,13;119,04;;7/03/2022
124,56;127,98;133,15;121,31;;8/03/2022
130,28;111,14;131,64;105,6;;9/03/2022
112,65;109,33;118,36;109;;10/03/2022
110,26;112,67;113,91;107,13;;11/03/2022
113,15;106,9;113,15;103,49;;14/03/2022
105,34;99,91;105,71;97,44;;15/03/2022
99,14;98,02;103,7;96,93;;16/03/2022
98,61;106,64;107,5;97,75;;17/03/2022
106,8;107,93;109,59;105,78;;18/03/2022
