Open;Close;High;Low;Volume;Date
1782,7;1786,65;1791,1;1782,15;;13/12/2021
1786,3;1770,5;1789,55;1766,9;;14/12/2021
1771,35;1777,66;1780,7;1756,05;;15/12/2021
1778,82;1799,4;1799,5;1775,9;;16/12/2021
1798,55;1797,95;1813,9;1796;;17/12/2021
1797,95;1797,95;1797,95;1797,95;;18/12/2021
1797,95;1797,95;1797,95;1797,95;;19/12/2021
1800,85;1790,65;1803,8;1788,18;;20/12/2021
1791,05;1788,8;1799,9;1785,02;;21/12/2021
1789,15;1803,45;1804,65;1786;;22/12/2021
1803,4;1808,8;1810,5;1799,5;;23/12/2021
1808,8;1802,93;1812,7;1802,93;;24/12/2021
1802,93;1802,93;1802,93;1802,93;;26/12/2021
1802,93;1812,15;1813,1;1802,93;;27/12/2021
1811,95;1805,85;1819,85;1804,79;;28/12/2021
1806,34;1804,55;1807,65;1789,33;;29/12/2021
1804,3;1814,95;1816,9;1796,34;;30/12/2021
1815,45;1821,5;1827,45;1814,6;;31/12/2021
1829,05;1829,05;1829,05;1829,05;;2/01/2022
1829,05;1801,25;1829,05;1798,3;;3/01/2022
1802,8;1814,55;1815,99;1799,3;;4/01/2022
1813,88;1810,15;1829,15;1808,39;;5/01/2022
1810,4;1790,1;1811,3;1786,4;;6/01/2022
1791,3;1796,95;1798,5;1783,93;;7/01/2022
1795,15;1801,5;1802,35;1790,5;;10/01/2022
1800,45;1821,75;1822,8;1800,45;;11/01/2022
1820,75;1826,1;1827,75;1814,8;;12/01/2022
1825,71;1822,8;1827,9;1812,2;;13/01/2022
1821,5;1817,7;1829,1;1814,6;;14/01/2022
1817,7;1817,7;1817,7;1817,7;;16/01/2022
1817,5;1819,55;1823,1;1813,07;;17/01/2022
1818,48;1813,8;1822,42;1806,09;;18/01/2022
1814,25;1840,25;1843,15;1810,35;;19/01/2022
1840,05;1839,45;1847,75;1836,3;;20/01/2022
1839,1;1833,63;1842,95;1828,42;;21/01/2022
1833,63;1833,63;1833,63;1833,63;;22/01/2022
1833,63;1833,63;1833,63;1833,63;;23/01/2022
1833,4;1843,3;1844,03;1829,49;;24/01/2022
1842,85;1848,15;1853,3;1834,9;;25/01/2022
1847,65;1819,75;1850,1;1815,6;;26/01/2022
1819,85;1797,35;1822,15;1791,58;;27/01/2022
1797,2;1796;1799,25;1780,3;;28/01/2022
1796;1796;1796;1796;;29/01/2022
1789,35;1798,26;1799,65;1785,4;;31/01/2022
1797,85;1801,15;1808,5;1795,5;;1/02/2022
1800,89;1806,95;1810,65;1794,6;;2/02/2022
1806,98;1804,8;1808,6;1788,9;;3/02/2022
1804,95;1808;1814,5;1792,5;;4/02/2022
1807;1806,82;1807;1806,82;;5/02/2022
1806,82;1808,6;1809,6;1806,82;;6/02/2022
1808,2;1820,55;1823,09;1808,2;;7/02/2022
1821,4;1825,85;1828,5;1815,48;;8/02/2022
1825,85;1833,2;1835,47;1824,82;;9/02/2022
1833;1826,95;1841,5;1822,4;;10/02/2022
1827,02;1858,7;1865,1;1821,6;;11/02/2022
1843,5;1843,5;1843,5;1843,5;;13/02/2022
1860;1871,55;1873,54;1851;;14/02/2022
1870,85;1853,75;1879,19;1844,84;;15/02/2022
1854,05;1869,75;1872,2;1850,32;;16/02/2022
1869,85;1898,15;1901,15;1867,59;;17/02/2022
1898,9;1895,48;1902,45;1886,55;;18/02/2022
1895,48;1895,48;1895,48;1895,48;;20/02/2022
1895,48;1904,25;1907,7;1887,7;;21/02/2022
1911,8;1898,25;1913,98;1893,49;;22/02/2022
1898,9;1909,33;1910,5;1889,62;;23/02/2022
1910,25;1903,88;1973,45;1881,4;;24/02/2022
1907,65;1889,28;1920,9;1883,25;;25/02/2022
1889,28;1889,28;1889,28;1889,28;;26/02/2022
1889,28;1889,28;1889,28;1889,28;;27/02/2022
1906,25;1908,85;1919,2;1891,09;;28/02/2022
1908,25;1945,5;1950;1901,3;;1/03/2022
1943,5;1928,6;1947,25;1915,1;;2/03/2022
1928,55;1936,25;1940,95;1922,11;;3/03/2022
1936,8;1974,5;1974,5;1930,17;;4/03/2022
1982,25;1998,1;2002,25;1961,25;;7/03/2022
1997,75;2049,85;2070,13;1982,5;;8/03/2022
2051;1991,02;2059;1978,35;;9/03/2022
1991,3;1996,7;2009,2;1971,35;;10/03/2022
1997,65;1988,4;1998,75;1959,65;;11/03/2022
1985,65;1982,85;1989,44;1972,85;;13/03/2022
1979,35;1953,9;1981;1950,45;;14/03/2022
1951,4;1916,55;1954,6;1907,2;;15/03/2022
1916,8;1925,7;1929,4;1895,75;;16/03/2022
1926,45;1942,3;1949,4;1925,4;;17/03/2022
1942,1;1921,6;1945,05;1918,35;;18/03/2022
