Open;Close;High;Low;Volume;Date
22,2825;22,49;22,7075;22,23375;;21/09/2021
22,50425;22,695;23,1325;22,463;;22/09/2021
22,7325;22,515;22,87375;22,4725;;23/09/2021
22,5525;22,42875;22,7925;22,106;;24/09/2021
22,42875;22,42875;22,42875;22,42875;;25/09/2021
22,42875;22,42875;22,42875;22,42875;;26/09/2021
22,43875;22,115;22,823;22,115;;27/09/2021
22,63;22,4675;22,66525;22,11175;;28/09/2021
22,46;21,115;22,54;21,115;;29/09/2021
21,5325;22,1775;22,2275;21,4745;;30/09/2021
22,18;22,53;22,58;21,99325;;1/10/2021
22,53;22,53;22,53;22,53;;3/10/2021
22,53375;22,6775;22,75125;22,28525;;4/10/2021
22,6375;22,63375;22,66;22,3815;;5/10/2021
22,625;22,755;22,755;22,215;;6/10/2021
22,64875;22,5925;22,79775;22,39;;7/10/2021
22,6025;22,6575;23,17175;22,43275;;8/10/2021
22,6575;22,6575;22,6575;22,6575;;10/10/2021
22,59425;22,5775;22,8175;22,5075;;11/10/2021
22,58125;22,56;22,73;22,3505;;12/10/2021
22,5775;23,0925;23,24;22,5175;;13/10/2021
23,08825;23,5175;23,575;22,89825;;14/10/2021
23,52975;23,31525;23,58275;23,07375;;15/10/2021
23,31525;23,31525;23,31525;23,31525;;17/10/2021
23,37775;23,2;23,445;23,0125;;18/10/2021
23,205;22,865;24,1155;22,865;;19/10/2021
23,65875;24,2925;24,41325;23,56825;;20/10/2021
24,33175;24,175;24,46875;24,0025;;21/10/2021
24,1525;24,025;24,805;24,025;;22/10/2021
24,025;24,025;24,025;24,025;;23/10/2021
24,025;24,055;24,055;24,025;;24/10/2021
24,3325;24,55825;24,60825;24,29775;;25/10/2021
24,57075;24,1375;24,57075;23,88125;;26/10/2021
24,1575;24,045;24,23425;23,85;;27/10/2021
24,06;24,09125;24,23225;23,96;;28/10/2021
24,07875;23,87475;24,08025;23,65925;;29/10/2021
23,87475;23,87475;23,87475;23,87475;;30/10/2021
24,505;23,7825;24,505;23,77975;;31/10/2021
